variable,Outcome,Estimate,L95% CI,U95% CI,Transformed Estimate,Transformed L95% CI,Transformed U95% CI
Minimum Travel Time,TVA,NA,NA,NA,NA,NA,NA
Length Growing Period,TVA,NA,NA,NA,NA,NA,NA
Household Size (MAE),TVA,-0.55,-0.57,-0.52,-31.7,-32.64,-30.26
Education (Primary),TVA,0.06,0.02,0.11,6.18,2.02,11.63
Education (Secondar/Higher),TVA,0.21,0.15,0.28,23.37,16.18,32.31
Assisted Tillage,TVA,0.24,0.17,0.31,27.12,18.53,36.34
External Labour,TVA,0.23,0.18,0.28,25.86,19.72,32.31
Kitchen Garden,TVA,0.13,0.09,0.17,13.88,9.42,18.53
Land Cultivated,TVA,0.22,0.19,0.24,16.47,14.08,18.1
Land Irrigated,TVA,0.15,0.08,0.21,16.18,8.33,23.37
Livestock Input,TVA,0.11,0.05,0.16,11.63,5.13,17.35
Livestock Holdings,TVA,NA,NA,NA,NA,NA,NA
Market Orientation,TVA,0.3,0.28,0.32,27.54,25.49,29.63
Number Income Sources,TVA,0.47,0.44,0.49,38.51,35.66,40.44
Off Farm Income,TVA,NA,NA,NA,NA,NA,NA
Use of Fertiliser,TVA,0.33,0.28,0.38,39.1,32.31,46.23
Standard Deviation in Country Effects,TVA,0.66,0.45,0.97,NA,NA,NA
Standard Deviation in Village Effects,TVA,0.65,0.62,0.68,NA,NA,NA
Residual,TVA,1.26,1.24,1.27,NA,NA,NA
Minimum Travel Time,HDDS,-0.05,-0.07,-0.03,-3.41,-4.74,-2.06
Length Growing Period,HDDS,-0.09,-0.14,-0.05,-6.05,-9.25,-3.41
Household Size (MAE),HDDS,NA,NA,NA,NA,NA,NA
Education (Primary),HDDS,0.07,0.04,0.09,7.25,4.08,9.42
Education (Secondar/Higher),HDDS,0.15,0.12,0.18,16.18,12.75,19.72
Assisted Tillage,HDDS,0.06,0.03,0.09,6.18,3.05,9.42
External Labour,HDDS,0.11,0.09,0.13,11.63,9.42,13.88
Kitchen Garden,HDDS,0.08,0.06,0.1,8.33,6.18,10.52
Land Cultivated,HDDS,0.06,0.05,0.07,4.25,3.53,4.97
Land Irrigated,HDDS,0.06,0.03,0.09,6.18,3.05,9.42
Livestock Input,HDDS,NA,NA,NA,NA,NA,NA
Livestock Holdings,HDDS,0.01,0,0.03,0.7,0,2.1
Market Orientation,HDDS,0.02,0.01,0.03,1.64,0.81,2.46
Number Income Sources,HDDS,0.06,0.04,0.07,4.25,2.81,4.97
Off Farm Income,HDDS,0.04,0.02,0.06,4.08,2.02,6.18
Use of Fertiliser,HDDS,0.09,0.07,0.12,9.42,7.25,12.75
Standard Deviation in Country Effects,HDDS,0.36,0.24,0.54,NA,NA,NA
Standard Deviation in Village Effects,HDDS,0.42,0.41,0.44,NA,NA,NA
Residual,HDDS,0.59,0.59,0.6,NA,NA,NA
